idx,class,conversation_original,conversation_flat,conversation_predicted_turns,actual_boundaries,predicted_boundaries
10,기타 괴롭힘 대화,"야 너가 그걸 할 수 있냐?
왜 나는 못할 것 같아?
퓻 너가? 너같은 바보새끼가 그걸?
.
너 꼴등이잖아
그걸 어떻게 알아?
왜 모르냨 딱 봐도 머리가 텅텅 비어보이는데
말 함부로 하지마
 걍 처음부터 시도하지마
하.",야 너가 그걸 할 수 있냐 왜 나는 못할 것 같아 퓻 너가 너같은 바보새끼가 그걸 너 꼴등이잖아 그걸 어떻게 알아 왜 모르냨 딱 봐도 머리가 텅텅 비어보이는데 말 함부로 하지마 걍 처음부터 시도하지마 하,"야 너가 그걸 할 수 있냐
왜
나는 못할 것 같아
퓻
너가
너같은 바보새끼가
그걸
너 꼴등이잖아
그걸 어떻게 알아
왜
모르냨
딱 봐도 머리가 텅텅 비어보이는데
말 함부로 하지마
걍 처음부터 시도하지마
하","[6, 11, 16, 16, 18, 21, 28, 31, 34]","[6, 7, 11, 12, 13, 15, 16, 18, 21, 22, 23, 28, 31, 34]"
11,기타 괴롭힘 대화,"야돼지
나.?
그래 여기 급식소에서 돼지가 너 빼고 더 있냐?
야 그 피자빵은 왜 들고가냐 안먹고
나.나중에 먹을려고
돼지새꺄 형이 다이어트시켜줄께
다이어트.?
그래임마 내놔 살빼야할거아니야
아.아니 그건.이리줘.
뭘 이리줘 살빼 새꺄 형이 잘먹을께",야돼지 나 그래 여기 급식소에서 돼지가 너 빼고 더 있냐 야 그 피자빵은 왜 들고가냐 안먹고 나나중에 먹을려고 돼지새꺄 형이 다이어트시켜줄께 다이어트 그래임마 내놔 살빼야할거아니야 아아니 그건이리줘 뭘 이리줘 살빼 새꺄 형이 잘먹을께,"야돼지
나
그래
여기 급식소에서 돼지가 너 빼고 더 있냐
야 그 피자빵은 왜 들고가냐
안먹고 나나중에 먹을려고
돼지새꺄
형이 다이어트시켜줄께
다이어트
그래임마 내놔 살빼야할거아니야
아아니
그건이리줘
뭘 이리줘
살빼
새꺄
형이 잘먹을께","[1, 2, 10, 16, 18, 21, 22, 25, 27]","[1, 2, 3, 10, 15, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31]"
12,기타 괴롭힘 대화,"어머 도윤아 더 예뻐졌네?
진짜? 고마워 . !
뭐야 진짠줄 아는거야?
아. 아니었구나
참나 지가 이쁜줄아나봐 ? 꼴에
미안 .
얘 너 못생겼어 정도를 알아
.알아
알면 가만히있어
응.",어머 도윤아 더 예뻐졌네 진짜 고마워 뭐야 진짠줄 아는거야 아 아니었구나 참나 지가 이쁜줄아나봐 꼴에 미안 얘 너 못생겼어 정도를 알아 알아 알면 가만히있어 응,"어머 도윤아 더 예뻐졌네
진짜
고마워
뭐야
진짠줄 아는거야
아 아니었구나
참나
지가 이쁜줄아나봐
꼴에
미안
얘 너 못생겼어
정도를 알아
알아
알면 가만히있어
응","[4, 6, 9, 11, 15, 16, 21, 22, 24]","[4, 5, 6, 7, 9, 11, 12, 14, 15, 16, 19, 21, 22, 24]"
13,기타 괴롭힘 대화,"야 장애인새끼? 팔병신이 밖에 돌아다니면 안되지.
 뭐라고? 넌 대가리병신이냐?
 뭐래 이자식이? 팔다친주제에. 다른 팔도 부러뜨려줘?
 그만하고 그냥 가던 길 가세요.
 공부만 하면 뭐해. 팔이 하나 나갔는데. 이새끼는 나중에 딸도못쳐.
 나 왼손잡이거든?
 아 그러세요? 그러면 왼손도 아작내드려요?
 너 대가리부터 고치고 와라.
 적어도 너꺼보단 나아. 개병신아.
 경찰에 신고할거야.",야 장애인새끼 팔병신이 밖에 돌아다니면 안되지 뭐라고 넌 대가리병신이냐 뭐래 이자식이 팔다친주제에 다른 팔도 부러뜨려줘 그만하고 그냥 가던 길 가세요 공부만 하면 뭐해 팔이 하나 나갔는데 이새끼는 나중에 딸도못쳐 나 왼손잡이거든 아 그러세요 그러면 왼손도 아작내드려요 너 대가리부터 고치고 와라 적어도 너꺼보단 나아 개병신아 경찰에 신고할거야,"야 장애인새끼
팔병신이 밖에 돌아다니면 안되지
뭐라고
넌 대가리병신이냐
뭐래
이자식이 팔다친주제에 다른 팔도 부러뜨려줘
그만하고 그냥 가던 길 가세요
공부만 하면 뭐해
팔이 하나 나갔는데
이새끼는 나중에 딸도못쳐
나 왼손잡이거든
아 그러세요
그러면 왼손도 아작내드려요
너 대가리부터 고치고 와라
적어도 너꺼보단 나아
개병신아
경찰에 신고할거야","[6, 9, 15, 20, 29, 31, 36, 40, 44]","[2, 6, 7, 9, 10, 15, 20, 23, 26, 29, 31, 33, 36, 40, 43, 44]"
14,기타 괴롭힘 대화,"아 짜증나 너 혼자 부르냐?
뭐가 
아니 갑자기 노래방 따라와서 너 혼자만 부르잖아
니가 안하는거잖아
안 하는게 아니라 못 부르는거야 너 때문에
그럼 불러
아 기분나빠 너 그냥 가라
어이없네 야 솔직히 너 노래보다 내 노래가 더 듣기 좋잖아
뭐?
존나 노래도 이상하게 부르면서 돈 냈다고 생색내기는",아 짜증나 너 혼자 부르냐 뭐가 아니 갑자기 노래방 따라와서 너 혼자만 부르잖아 니가 안하는거잖아 안 하는게 아니라 못 부르는거야 너 때문에 그럼 불러 아 기분나빠 너 그냥 가라 어이없네 야 솔직히 너 노래보다 내 노래가 더 듣기 좋잖아 뭐 존나 노래도 이상하게 부르면서 돈 냈다고 생색내기는,"아 짜증나 너 혼자 부르냐
뭐가
아니
갑자기 노래방 따라와서 너 혼자만 부르잖아
니가 안하는거잖아
안 하는게 아니라 못 부르는거야
너 때문에
그럼 불러
아 기분나빠
너 그냥 가라
어이없네
야 솔직히 너 노래보다 내 노래가 더 듣기 좋잖아
뭐
존나 노래도 이상하게 부르면서 돈 냈다고 생색내기는","[5, 6, 13, 15, 22, 24, 29, 39, 40]","[5, 6, 7, 13, 15, 20, 22, 24, 26, 29, 30, 39, 40]"
15,직장 내 괴롭힘 대화,"하윤씨
네?
내일 급한거 없지? 평창으로 출장좀 다녀와야겠어
네 ?? 제가요?
어 왜?? 불만있어?
아니 그건 아닌데 평창으로 출장가는건 팀장님 업무 아닌가 해서요
그건 맞는데 내가 좀 바빠서 그래 같은 팀끼리 돕고 살아야지 도와줄거지?
아.
왜곤란해? 내가 하윤씨 다녀오면 업무라도 핑퐁 할까봐 그래?
아니 그건 아닌데
그렇게 하기 싫으면 냅두던가 근데 하윤씨 뒷감당 괜찮지? 나는 그렇게 속넓은 사람이 아니라서 말이야",하윤씨 네 내일 급한거 없지 평창으로 출장좀 다녀와야겠어 네 제가요 어 왜 불만있어 아니 그건 아닌데 평창으로 출장가는건 팀장님 업무 아닌가 해서요 그건 맞는데 내가 좀 바빠서 그래 같은 팀끼리 돕고 살아야지 도와줄거지 아 왜곤란해 내가 하윤씨 다녀오면 업무라도 핑퐁 할까봐 그래 아니 그건 아닌데 그렇게 하기 싫으면 냅두던가 근데 하윤씨 뒷감당 괜찮지 나는 그렇게 속넓은 사람이 아니라서 말이야,"하윤씨
네
내일 급한거 없지 평창으로 출장좀 다녀와야겠어
네 제가요
어 왜 불만있어
아니 그건 아닌데 평창으로 출장가는건 팀장님 업무 아닌가 해서요
그건 맞는데
내가 좀 바빠서 그래
같은 팀끼리 돕고 살아야지 도와줄거지
아 왜곤란해 내가 하윤씨 다녀오면 업무라도 핑퐁 할까봐 그래
아니 그건 아닌데
그렇게 하기 싫으면 냅두던가
근데 하윤씨 뒷감당 괜찮지
나는 그렇게 속넓은 사람이 아니라서 말이야","[1, 2, 8, 10, 13, 22, 33, 34, 42, 45]","[1, 2, 8, 10, 13, 22, 24, 28, 33, 42, 45, 49, 53]"
16,직장 내 괴롭힘 대화,"김대리 이걸 보고서라고 한 거야?
다시 해오겠습니다. 죄송합니다.
아니 죄송한 줄 알면 죄송한 짓은 왜 하지?
제가 노력이 부족했습니다.
아니 너 서울 명문대 나왔잖아 학교에서 뭐 배웠니? 나때는 말이야 대리일때 날라다녔어
부장님 김대리 어제 밤샜다고 합니다.
빨리 수정하겠습니다.
이런 말 내가 너 아껴서 하는 거 다 알지?
부장님 감사합니다.
우리 아들 이번에 취업 준비하는데 자소서 좀 봐줄 수 있나?
제가 최선을 다해 아드님꺼 대신 수정하겠습니다.",김대리 이걸 보고서라고 한 거야 다시 해오겠습니다 죄송합니다 아니 죄송한 줄 알면 죄송한 짓은 왜 하지 제가 노력이 부족했습니다 아니 너 서울 명문대 나왔잖아 학교에서 뭐 배웠니 나때는 말이야 대리일때 날라다녔어 부장님 김대리 어제 밤샜다고 합니다 빨리 수정하겠습니다 이런 말 내가 너 아껴서 하는 거 다 알지 부장님 감사합니다 우리 아들 이번에 취업 준비하는데 자소서 좀 봐줄 수 있나 제가 최선을 다해 아드님꺼 대신 수정하겠습니다,"김대리 이걸 보고서라고 한 거야
다시 해오겠습니다
죄송합니다
아니 죄송한 줄 알면
죄송한 짓은 왜 하지
제가 노력이 부족했습니다
아니 너 서울 명문대 나왔잖아 학교에서 뭐 배웠니 나때는 말이야 대리일때 날라다녔어
부장님
김대리 어제 밤샜다고 합니다
빨리 수정하겠습니다
이런 말 내가 너 아껴서 하는 거 다 알지
부장님 감사합니다
우리 아들 이번에 취업 준비하는데 자소서 좀 봐줄 수 있나
제가 최선을 다해
아드님꺼 대신 수정하겠습니다","[5, 8, 16, 19, 31, 36, 38, 47, 49, 59]","[5, 7, 8, 12, 16, 19, 31, 32, 36, 38, 47, 49, 59, 62]"
17,직장 내 괴롭힘 대화,"희정씨
네??
치마가 왜 이렇게 짧아?
네??
여기가 일하러 오는데지 클럽아니잖아
별로 안짧은데 무릎아래로오는데요
그거 기준은 누가정하는거야? 희정씨가 정하는거야??
네.?
윗사람이 짧다하면 아 죄송합니다 다시는 안입겠습니다하면되지 그렇게 어려운가?
네.",희정씨 네 치마가 왜 이렇게 짧아 네 여기가 일하러 오는데지 클럽아니잖아 별로 안짧은데 무릎아래로오는데요 그거 기준은 누가정하는거야 희정씨가 정하는거야 네 윗사람이 짧다하면 아 죄송합니다 다시는 안입겠습니다하면되지 그렇게 어려운가 네,"희정씨
네
치마가 왜 이렇게 짧아
네
여기가 일하러 오는데지 클럽아니잖아
별로 안짧은데
무릎아래로오는데요
그거 기준은 누가정하는거야
희정씨가 정하는거야
네
윗사람이 짧다하면
아 죄송합니다
다시는 안입겠습니다하면되지
그렇게 어려운가
네","[1, 2, 6, 7, 11, 14, 19, 20, 28]","[1, 2, 6, 7, 11, 13, 14, 17, 19, 20, 22, 24, 26, 28]"
18,직장 내 괴롭힘 대화,"수진씨 수진씨가 무엇을 잘 못한지 아나요?
 네? 제가 주임님 말씀을 거절하긴 했는데 회사 밖의 일입니다.
근데 왜 클레이이 들어오지? 평소에도 일 못하는거 아니야?
네? 그러진 않습니다. 최선을 다해 일하고 있습니다.
그런데 왜 그러지 수진씨는 3개월 감봉해야할 것 같아.
네? 갑자기 그러시는게 어디있습니까?
수진씨가 규칙을 어겼다는 제보가 쏟아져 나오고 있어. 이게 기사화라도 되면 우리 기업 이미지 생각안하나
아니요. 저는 정말 그런 적 없습니다.
있으면 있는거야 3개월 감봉이면 약한거야 감사히 생각해.
이건 너무 부당합니다.",수진씨 수진씨가 무엇을 잘 못한지 아나요 네 제가 주임님 말씀을 거절하긴 했는데 회사 밖의 일입니다 근데 왜 클레이이 들어오지 평소에도 일 못하는거 아니야 네 그러진 않습니다 최선을 다해 일하고 있습니다 그런데 왜 그러지 수진씨는 3개월 감봉해야할 것 같아 네 갑자기 그러시는게 어디있습니까 수진씨가 규칙을 어겼다는 제보가 쏟아져 나오고 있어 이게 기사화라도 되면 우리 기업 이미지 생각안하나 아니요 저는 정말 그런 적 없습니다 있으면 있는거야 3개월 감봉이면 약한거야 감사히 생각해 이건 너무 부당합니다,"수진씨 수진씨가 무엇을 잘 못한지 아나요
네 제가 주임님 말씀을 거절하긴 했는데 회사 밖의 일입니다
근데 왜 클레이이 들어오지
평소에도 일 못하는거 아니야
네 그러진 않습니다
최선을 다해 일하고 있습니다
그런데 왜 그러지
수진씨는 3개월 감봉해야할 것 같아
네
갑자기 그러시는게 어디있습니까
수진씨가 규칙을 어겼다는 제보가 쏟아져 나오고 있어
이게 기사화라도 되면 우리 기업 이미지 생각안하나
아니요 저는 정말 그런 적 없습니다
있으면 있는거야 3개월 감봉이면 약한거야 감사히 생각해
이건 너무 부당합니다","[6, 15, 23, 30, 38, 42, 56, 62, 69]","[6, 15, 19, 23, 26, 30, 33, 38, 39, 42, 49, 56, 62, 69]"
19,직장 내 괴롭힘 대화,"여기 또 재떨이 날아다녀야 정신 차릴 인간 있구만
죄송합니다
으이구 꼴도 보기 싫어
말씀 주시면 다시 해보겠습니다
다시 한다고 제대로 하겠어? 허구헌날 알려달라고만 하고
죄송합니다
머리는 폼으로 달고 다니냐?
이번엔 잘 해보겠습니다 
시키는 이상을 해야지! 옆 부서 김대리한테 좀 봐봐! 잘하잖아
기대에 어긋나지 않게 노력해 보겠습니다",여기 또 재떨이 날아다녀야 정신 차릴 인간 있구만 죄송합니다 으이구 꼴도 보기 싫어 말씀 주시면 다시 해보겠습니다 다시 한다고 제대로 하겠어 허구헌날 알려달라고만 하고 죄송합니다 머리는 폼으로 달고 다니냐 이번엔 잘 해보겠습니다 시키는 이상을 해야지 옆 부서 김대리한테 좀 봐봐 잘하잖아 기대에 어긋나지 않게 노력해 보겠습니다,"여기 또 재떨이 날아다녀야 정신 차릴 인간 있구만
죄송합니다
으이구 꼴도 보기 싫어
말씀 주시면 다시 해보겠습니다
다시 한다고
제대로 하겠어
허구헌날 알려달라고만 하고
죄송합니다
머리는 폼으로 달고 다니냐
이번엔 잘 해보겠습니다
시키는 이상을 해야지 옆 부서 김대리한테 좀 봐봐 잘하잖아
기대에 어긋나지 않게
노력해 보겠습니다","[8, 9, 13, 17, 24, 25, 29, 32, 41]","[8, 9, 13, 17, 19, 21, 24, 25, 29, 32, 41, 44]"
20,일반 대화,인터넷 쇼핑몰 장바구니에만 벌써 20개 넘게 담겨있어 결제 버튼 누를 용기가 안 나네 그 마음 알지 나도 매일 구경만 하고 결제는 못 해 근데 꼭 필요한 건 사야지,인터넷 쇼핑몰 장바구니에만 벌써 20개 넘게 담겨있어 결제 버튼 누를 용기가 안 나네 그 마음 알지 나도 매일 구경만 하고 결제는 못 해 근데 꼭 필요한 건 사야지,"인터넷 쇼핑몰 장바구니에만 벌써 20개 넘게 담겨있어
결제 버튼 누를 용기가 안 나네
그 마음 알지
나도 매일 구경만 하고 결제는 못 해
근데 꼭 필요한 건 사야지",[],"[7, 13, 16, 23]"
21,일반 대화,배그 보급 상자 진짜 떨어졌다 저거 먹으러 갈래 야 뭐 저기 사람 위험하지 않을까 그래도 에이더블유엠 엄청 몰릴 텐데 아니 나오면 무조건 음 이기는데 한 번 질러보자 그래 근데 죽어도 고다 에이 차 타고 가보자 화이팅,배그 보급 상자 진짜 떨어졌다 저거 먹으러 갈래 야 뭐 저기 사람 위험하지 않을까 그래도 에이더블유엠 엄청 몰릴 텐데 아니 나오면 무조건 음 이기는데 한 번 질러보자 그래 근데 죽어도 고다 에이 차 타고 가보자 화이팅,"배그 보급 상자 진짜 떨어졌다
저거 먹으러 갈래
야
뭐
저기 사람 위험하지 않을까
그래도
에이더블유엠 엄청 몰릴 텐데
아니
나오면 무조건
음 이기는데
한 번 질러보자
그래
근데 죽어도
고다
에이
차 타고 가보자
화이팅",[],"[5, 8, 9, 10, 14, 15, 19, 20, 22, 24, 27, 28, 30, 31, 32, 35]"
22,일반 대화,너 아까 본 그 원피스 걘 진짜 소화 못 듯 야 말이 심하다 하더라 몸매가 안 받쳐주는 근데 솔직히 좀 안 어울리긴 했어 그치 디자인은 예쁜데 좀 안 사람을 타는 옷인 것 같아 우리는 잘 어울릴 것 같은데,너 아까 본 그 원피스 걘 진짜 소화 못 듯 야 말이 심하다 하더라 몸매가 안 받쳐주는 근데 솔직히 좀 안 어울리긴 했어 그치 디자인은 예쁜데 좀 안 사람을 타는 옷인 것 같아 우리는 잘 어울릴 것 같은데,"너 아까 본 그 원피스 걘
진짜 소화 못 듯
야
말이 심하다 하더라
몸매가 안 받쳐주는
근데
솔직히 좀 안 어울리긴 했어
그치
디자인은 예쁜데 좀 안 사람을 타는 옷인 것 같아
우리는 잘 어울릴 것 같은데",[],"[6, 10, 11, 14, 17, 18, 23, 24, 33]"
23,일반 대화,나 어제 곽튜브 영상 봤는데 좀 진짜 여행 가고 뭐 아 진짜 싶더라 러시아 아 진짜 막 보고 비행기 표 알아봤잖아 편 대박이지 나도 그거 가서 먹는 음식들도 신기하고 사람들도 정 넘치는 게 뭐 보기 좋더라 나도 구독함,나 어제 곽튜브 영상 봤는데 좀 진짜 여행 가고 뭐 아 진짜 싶더라 러시아 아 진짜 막 보고 비행기 표 알아봤잖아 편 대박이지 나도 그거 가서 먹는 음식들도 신기하고 사람들도 정 넘치는 게 뭐 보기 좋더라 나도 구독함,"나 어제 곽튜브 영상 봤는데 좀 진짜 여행 가고
뭐
아 진짜 싶더라
러시아
아 진짜 막 보고 비행기 표 알아봤잖아
편
대박이지
나도
그거 가서 먹는 음식들도 신기하고 사람들도 정 넘치는 게
뭐
보기 좋더라
나도 구독함",[],"[9, 10, 13, 14, 21, 22, 23, 24, 33, 34, 36]"
24,일반 대화,아침부터 걍 회의하느라 고생 많으셨어요 아유 기운이 진짜 바람 좀 쐬러 나갈까요 다 빠지네요 우리 잠깐 좋죠 편의점 어 가서 시원한 음료수라도 하나 음 마셔요 제가 쏠게요 고맙습니다 역시 대리님밖에 오 대박 없어요,아침부터 걍 회의하느라 고생 많으셨어요 아유 기운이 진짜 바람 좀 쐬러 나갈까요 다 빠지네요 우리 잠깐 좋죠 편의점 어 가서 시원한 음료수라도 하나 음 마셔요 제가 쏠게요 고맙습니다 역시 대리님밖에 오 대박 없어요,"아침부터 걍 회의하느라 고생 많으셨어요
아유 기운이 진짜 바람 좀
쐬러
나갈까요
다 빠지네요
우리 잠깐
좋죠
편의점
어
가서 시원한 음료수라도 하나
음
마셔요
제가 쏠게요
고맙습니다
역시 대리님밖에
오 대박 없어요",[],"[5, 10, 11, 12, 14, 16, 17, 18, 19, 23, 24, 25, 27, 28, 30]"
