idx,class,conversation
h_036,일반 대화,"팀장님 내일 거래처 방문 미팅 시간이랑 장소 다시 확인해도 될까요?
내일 오후 2시에 을지로 본사 5층 회의실이야 주소 보내줄까?
알겠습니다 발표 자료랑 샘플 다 준비해놨어요 출발 시간은요?
1시에 출발하면 넉넉하지 같이 택시 타고 가자"
h_037,일반 대화,"회사 동아리 가입했어? 나 이번에 요리 동아리 들어갔는데 재밌어
오 진짜? 나는 독서 동아리 가입했어 한 달에 한 권 읽는 건데 ㅎㅎ
좋다 다음에 내가 요리한 거 점심에 가져다줄게 맛 좀 봐줘
기대된다 ㅋㅋ 나도 좋은 책 읽으면 추천해줄게"
h_038,일반 대화,"오늘 발표 회의 진짜 잘 끝났다 다들 수고 많았어 결과물이 좋았어
팀장님이 방향 잘 잡아주셔서 수월했어요 피드백도 좋았고
아냐 다들 각자 맡은 파트 준비를 철저하게 해온 덕분이지 자랑스럽다
이런 팀워크면 다음 프로젝트도 자신감 가지고 해볼 수 있겠어요"
h_039,일반 대화,"야 회사 구내식당 오늘부터 메뉴 대폭 바뀌었대 새 메뉴 추가됐다던데
진짜? 뭐가 새로 생겼는데? 맨날 같은 메뉴만 먹어서 지겨웠거든
해물찜이랑 매콤 제육볶음이 추가됐대 디저트 코너도 생겼다더라
오 해물찜 먹어봐야겠다 ㅋㅋ 오늘 점심 구내식당에서 먹자"
h_040,일반 대화,"부장님 연말 성과 면담 일정 잡아야 하는데 다음 주 중에 시간 되실까요?
그래 다음 주 중으로 하자 네가 편한 날 말해봐
화요일 오전 10시 어떠세요? 회의실 예약해놓겠습니다
좋아 그때 보자 올해 잘한 점이랑 내년 계획도 같이 얘기하자"
h_041,일반 대화,"팀장님 지난 주에 다녀오신 리더십 교육 후기 좀 공유해주실 수 있어요?
물론이지 내일 팀미팅 시간에 핵심 내용 정리해서 발표할게
감사합니다 저도 그 교육 다음 분기에 신청하려고 했거든요
좋은 내용 많았어 특히 커뮤니케이션 부분이 인상 깊었어 기대해"
h_042,일반 대화,"과장님 출퇴근 어떻게 하세요? 지하철 타세요 아니면 버스요?
나는 2호선 타고 다녀 환승 한 번이라 50분 정도 걸려 너는 어떻게 와?
저는 버스로 오는데 요즘 출근 시간에 너무 막혀서 1시간 넘게 걸려요
자전거 출퇴근도 고려해봐 건강에도 좋고 교통비도 아끼고 좋아"
h_043,일반 대화,"점심 밖에서 먹을까 구내식당 갈까? 오늘 뭐가 땡겨?
오늘 날씨도 좋은데 밖에서 먹자 산책도 할 겸 좋잖아
좋아 뭐 먹고 싶어? 한식 양식 다 괜찮은데
냉면 어때? 요즘 더우니까 시원한 거 먹으면 딱이야 맛집 알아"
h_044,일반 대화,"이번 프로젝트 성공적으로 마무리됐네요 6개월간 고생 많았어요 다들
정말 수고 많았어 각자 역할을 완벽하게 해줘서 좋은 결과가 나왔어
다음 프로젝트도 이 팀으로 같이 하고 싶습니다 호흡이 정말 잘 맞아요
나도 그렇게 생각해 상반기 우수 팀 후보에 올라갈 수도 있어 기대하자"
h_045,일반 대화,"회사 1층에 카페가 새로 생겼대 출근길에 봤는데 인테리어 예쁘더라
진짜? 메뉴 가격은 어때? 회사 건물 카페니까 비싸지 않으려나
아메리카노가 2천원이래 근처 카페보다 훨씬 싸더라
오 가성비 좋다 내일 출근하면서 한잔 해봐야겠다 같이 가자"
h_046,일반 대화,"팀장님 보고서 양식이 바뀐 건가요? 이전 양식으로 작성했는데 맞는지 모르겠어서요
아 맞다 총무팀에서 이번 주부터 새 양식으로 통일했어 미리 공유 못해서 미안
알겠습니다 새 양식 다운받아서 다시 작성할게요 큰 변경은 아니죠?
응 레이아웃만 좀 바뀐 거야 내용은 그대로 옮기면 돼 금방이야"
h_047,일반 대화,"과장님 이번 달 팀 회식 장소 추천 좀 해주세요 제가 예약 담당이에요
회사 근처 족발집 어때? 가성비 좋고 양도 많아서 회식 장소로 딱이야
족발 좋아요! 사이드 메뉴도 다양하다던데 다들 좋아하겠어요
그럼 내가 사장님한테 연락해볼게 단체 예약하면 서비스도 나올 거야"
h_048,일반 대화,"야근 간식으로 뭐 먹을까? 배고프다 저녁도 거른 것 같은데
치킨 시킬까? ㅋㅋ 야근할 때는 역시 치킨이지 무슨 맛이 좋아?
양념 반 후라이드 반으로 시키자 음료수도 같이 주문하고
좋아 배달앱으로 지금 주문할게 30분이면 온대 조금만 참자"
h_049,일반 대화,"부장님 해외 출장 얼마나 다녀오시는 거예요? 출장 기간 동안 업무 지시 사항 있으시면
일주일 정도 갈 거야 그동안 주간 보고는 네가 맡아줘 다른 건 평소대로 하면 돼
네 걱정 마세요 제가 잘 처리해놓겠습니다 긴급 사항은 메신저로 보고드릴게요
고마워 믿고 맡기는 거야 어려운 건 있으면 바로 연락해"
h_050,일반 대화,"팀 이름 새로 정하자는 의견이 나왔는데 다들 아이디어 좀 내봐
오 재밌겠다 뭔가 우리 팀 성격을 잘 보여주는 이름이면 좋겠어요
각자 후보 하나씩 내고 투표하자 센스 있는 이름으로 부탁해
좋아요 ㅋㅋ 내일까지 생각해올게요 슬로건도 같이 만들면 어때요?"
h_051,일반 대화,"과장님 이 업무 제가 직접 맡아서 해봐도 될까요? 관심 있는 분야라서요
그래 관심 있으면 도전해봐 처음이니까 모르는 건 언제든 물어보고
감사합니다 진짜 배우고 싶었던 분야예요 열심히 하겠습니다
그 열정이면 잘할 거야 진행하면서 주간으로 상황 공유해줘 응원할게"
h_052,일반 대화,"팀장님 탕비실 커피머신 캡슐 종류가 다 떨어졌어요 주문 부탁드려도 될까요
아 그래? 총무팀에 비품 신청서 넣을게 어떤 맛이 인기 있었어?
아메리카노랑 바닐라가 제일 빨리 없어지더라고요 ㅎㅎ
ㅋㅋ 그럼 그 두 개 위주로 넉넉하게 주문해놓을게 감사해 알려줘서"
h_053,일반 대화,"과장님 죄송한데 오늘 아이가 아파서 조기 퇴근 좀 해도 될까요? 병원 가야 해서요
당연하지 아이가 우선이야 지금 바로 가봐 남은 업무는 내가 처리할게
정말 감사합니다 과장님 내일 일찍 출근해서 밀린 거 다 하겠습니다
괜찮아 아이 빨리 낫길 바란다 무리하지 말고"
h_054,일반 대화,"회사에서 올해 건강검진 무료로 지원해준다는 공지 봤어? 이번 달까지 신청이래
맞아 나도 봤어 작년에는 못 했는데 올해는 꼭 해야겠다
좋다 어느 병원으로 가면 되는지 알아? 선택할 수 있대
인사팀 공지에 제휴 병원 목록 있어 거기서 골라서 예약하면 돼"
h_055,일반 대화,"이번에 우리 부서 봉사활동 참가할 사람 있어? 인원 확인 중이야
저 참가할게요 어떤 봉사활동이에요? 주말인 거 맞죠?
다음 주 토요일에 양로원 방문이야 어르신들이랑 시간 보내는 거래
좋아요 의미 있는 활동이네요 다른 팀원들한테도 알려볼게요"
h_056,일반 대화,"팀장님 오늘 거래처 프레젠테이션 정말 완벽하셨어요 자료도 깔끔하고
그래? 고마워 ㅎㅎ 사실 꽤 많이 떨렸는데 티 안 났나 보다
전혀 안 떨리시는 것 같았어요 프로 중의 프로세요 저도 저렇게 하고 싶어요
연습 많이 한 덕분이야 너도 경험 쌓이면 자연스러워질 거야 화이팅"
h_057,일반 대화,"다들 모여봐 새로 합류하신 분 소개할게 마케팅팀에서 전배 오신 이지현 대리야
안녕하세요 이지현입니다 우리 팀에서 함께 일하게 되어 반갑습니다 잘 부탁드려요
환영합니다! 저는 김민호예요 모르는 거 있으면 편하게 물어보세요
우리 팀 분위기 좋으니까 금방 적응하실 거예요 점심 같이 먹으러 가요"
h_058,일반 대화,"오늘 10시 회의 안건이 뭔지 혹시 알아? 자료 좀 준비해가려고
신규 프로젝트 킥오프 회의야 일정이랑 역할 분담 논의한대
아 그러면 프로젝트 관련 시장 조사 자료 좀 가져갈게
좋은 생각이야 10시까지 3층 대회의실로 와 사전에 보면 좋은 자료 공유해줄게"
h_059,일반 대화,"민수 씨 이번 달 개인 영업 목표 달성했다면서? 입사 6개월 차에 대단하다
감사합니다 과장님 팀원 분들이 노하우 많이 알려주셔서 가능했어요
겸손하긴 실력이 있으니까 가능한 거지 팀 전체 실적에도 크게 기여했어
앞으로도 더 열심히 하겠습니다 좋은 팀에서 일할 수 있어서 감사해요"
h_060,일반 대화,"야 회사 앞에 벚꽃 엄청 피었다 점심시간에 잠깐 구경 갈까? 날씨도 좋은데
좋아 카메라 가져가자 작년에도 여기서 단체 사진 찍었잖아
맞아 올해는 인생샷 건지자 ㅋㅋ 배경 진짜 예쁘겠다
그래 12시 되면 바로 나가자 도시락 싸가면 벚꽃 아래서 먹어도 좋겠다"
h_061,일반 대화,"팀장님 이번 주 금요일 고객사 미팅 장소가 어디였죠? 다시 확인하고 싶어서요
판교 본사 3층 대회의실이야 주차장은 지하로 들어가면 돼
알겠습니다 금요일에 일찍 출발해야겠네요 교통 상황 봐서 1시간 전에 나갈게요
응 여유 있게 나오는 게 좋아 첫인상이 중요하니까 늦지 말자"
h_062,일반 대화,"부장님 이번에 팀원 경조사가 있는데 경조사비 처리 절차가 어떻게 되나요?
총무팀에 경조사 신청서 제출하면 돼 양식이 필요하면 내가 메일로 보내줄까?
네 부탁드립니다 처음이라 잘 모르겠어서요
알겠어 바로 보내줄게 경조사 휴가도 같이 신청할 수 있으니까 참고해"
h_063,일반 대화,"야 올해 여름 휴가 언제 쓸 건지 좀 조율하자 팀에서 겹치면 안 되니까
나는 8월 첫째 주 생각하고 있는데 너는 언제 갈 거야?
나도 비슷한 시기인데 혹시 겹치면 한 명이 조정해야 하지 않을까?
팀장님한테 먼저 말씀드리고 팀 전체 휴가 일정표 만들자"
h_064,일반 대화,"과장님 오늘 정장 입으셨네요 평소에 캐주얼하시던데 뭔가 있으세요?
고마워 ㅎㅎ 오늘 오후에 중요한 거래처 미팅이 있어서 좀 차려입었어
역시 과장님 어디 가든 프로페셔널하시네요 멋있어요
아이고 과찬이야 ㅋㅋ 너도 담당 미팅 때는 이렇게 입어봐 느낌 달라"
h_065,일반 대화,"새 사무실로 이전하니까 확실히 분위기가 달라졌지 않아? 쾌적해서 좋다
완전 좋아요 창문도 넓어져서 자연광 들어오니까 기분도 좋고 집중도 잘 돼요
맞아 여기에 화분이랑 식물 좀 놓으면 더 좋을 것 같아 인테리어 효과도 있고
동의요 팀장님 화분 예산 좀 잡아주세요 ㅎㅎ 공기정화 식물 놓고 싶어요"
h_066,일반 대화,"야 너한테 온 택배 1층 경비실에 있대 점심때 내려가서 받아와
아 진짜? 알려줘서 고마워 주문한 거 기다리고 있었는데 ㅎㅎ
점심 전에 가져와 경비실에 택배 많이 쌓이면 자리 없어져서 찾기 힘들어
알겠어 지금 잠깐 내려갔다 올게 금방 올게"
h_067,일반 대화,"팀장님 내일 오전에 개인 일정이 좀 있어서 출근이 좀 늦을 것 같은데 괜찮을까요?
괜찮아 내일 오전에 특별한 미팅 없으니까 오후에 와도 돼 급한 건 내가 커버할게
감사합니다 최대한 빨리 출근하겠습니다 늦어도 1시까지는 도착할게요
편하게 볼 일 보고 와 무리해서 서두르지 말고"
h_068,일반 대화,"회사 동호회 등산 모임 이번 주 토요일인데 참가할 거야? 같이 가자
가고 싶긴 한데 체력이 될지 걱정이야 ㅋㅋ 코스가 어떻게 돼?
초보 코스래 왕복 2시간이면 돼 부담 없어 경치도 좋다더라
그 정도면 괜찮다 갈게! 등산화 없는데 운동화로 가도 될까?"
h_069,일반 대화,"과장님 퇴근 전에 결재 서류에 서명 좀 부탁드려도 될까요? 내일까지 제출이라서요
응 뭐야 어디에 서명하면 돼? 내용은 이미 검토한 거지?
네 계약서 최종본이요 법무팀 검토도 다 끝났습니다
알겠어 가져와 바로 해줄게 고생했어 빠듯한 일정에 잘 마무리했네"
h_070,일반 대화,"어제 저녁 내가 삼겹살 쐈으니까 오늘 점심 커피는 네가 사는 거다 약속했잖아
ㅋㅋ 알겠어 뭐 마실래? 아메리카노 맞지?
응 아이스 아메리카노 큰 걸로 부탁해 오늘 더우니까
오케이 지금 바로 카페 가서 주문할게 자리에서 기다려"
h_071,일반 대화,"야 오늘 점심 삼계탕 먹었으니까 더치페이 하자 1만 2천원이니까 6천원씩
응 카카오페이로 바로 보내줄게 계좌번호 필요 없지?
응 카카오페이로 보내줘 금방 확인할 수 있으니까
보냈다 확인해봐 맛있었다 다음에 또 가자 ㅎㅎ"
h_072,일반 대화,"엄마 이번 달 용돈 좀 올려주시면 안 될까요? 물가가 너무 올랐어요 ㅠㅠ
지난번에 준 거 벌써 다 썼어? 어디에 이렇게 많이 쓰니
친구들이랑 밥도 먹고 교통비도 오르고 해서요 아껴 쓰는데도 부족해요
알겠다 5만원 더 보내줄게 그래도 가계부 좀 써봐라 어디에 쓰는지 파악해야지"
h_073,일반 대화,"이번 달 월급 들어왔어? 나는 아까 확인했는데 입금 문자 왔더라
응 나도 확인했어 드디어 통장에 돈이 들어왔다 ㅠㅠ 한 달이 길었어
맞아 ㅋㅋ 월급날만 기다렸어 오늘 저녁은 맛있는 거 먹자 자축하자
좋아 월급 기념 삼겹살에 소주 어때? 내가 아는 맛집 있어"
h_074,일반 대화,"야 미안한데 만원만 빌려줄 수 있어? 지갑을 집에 놓고 왔어 현금이 하나도 없어
그래 여기 카드로 내가 먼저 계산할게 걱정하지 마
고마워 진짜 내일 출근하면 바로 갚을게 미안해
괜찮아 갚는 거 신경 쓰지 마 친구 사이에 이 정도는 당연하지"
h_075,일반 대화,"이 원피스 마음에 드는데 가격이 얼마인지 좀 봐줘 태그가 안 보여서
3만 9천원이래 지금 시즌 세일 중이라 원래 7만원짜리야 거의 반값이네
오 이 정도면 괜찮다 살 만하네 색상도 예쁘고 소재도 좋아
맞아 나도 다른 색으로 하나 살까 고민 중이야 같이 사면 할인 더 되나 물어볼까"
h_076,일반 대화,"월말인데 통장 잔고가 바닥이야 ㅋㅋ 아직 열흘이나 남았는데 어떡하지
나도 ㅋㅋ 이번 달 카드값이 어마어마하게 나왔어 쇼핑을 좀 줄여야 하는데
우리 다음 달부터는 진짜 절약 좀 하자 점심도 도시락 싸오고
그래야겠다 커피도 텀블러에 집에서 타오자 한 달만 참아보자"
h_077,일반 대화,"야 지난달에 빌린 3만원 여기 있어 늦어서 미안해 자꾸 까먹었다 ㅎㅎ
아 맞다 빌려줬던 거 나도 까먹고 있었는데 ㅋㅋ 고마워 갚아줘서
미안 좀 늦었지? 다음부터는 바로 보내줄게
아니야 전혀 괜찮아 생각해줘서 고맙지 그거로 오늘 저녁이나 맛있는 거 먹자"
h_078,일반 대화,"이사 축하해! 집들이 초대 고마워 선물로 뭐 가져가면 좋을까?
아 안 그래도 돼 와주는 것만으로도 충분히 좋아 부담 갖지 마
그래도 빈손으로 갈 수 없지 휴지 세트나 세제 세트 어때? 실용적이잖아
ㅋㅋ 현실적이다 고마워 사실 이사하느라 생필품 살 틈이 없었어"
h_079,일반 대화,"이따 마트에서 장 좀 봐야 하는데 같이 갈래? 혼자 가면 심심해서
좋아 나도 라면이랑 과일 좀 사야 해 무거운 거 같이 들면 좋겠다
오늘 마트 전단지 보니까 할인하는 품목 많더라 돼지고기 반값이래
진짜? 그럼 서둘러 가자 좋은 거 빨리 가야 남아있어"
h_080,일반 대화,"야 주식 요즘 어떻게 돼가? 나는 수익률이 마이너스인데 ㅋㅋ 괴로워
나도 마이너스야 ㅋㅋ 연초에 산 종목이 계속 빠지고 있어 속이 쓰려
그래도 존버하자 전문가들도 장기 투자하라고 하잖아 언젠간 오르겠지
맞아 뭐 단기적으로 일희일비하면 안 되지 마음 편하게 먹자"
